time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.000000,0.247046,108.261824,0.0000000000,0.0000000000,-0.9340258795,-0.3252497187,0.2000000000,0.3000000000
0.020000,0.236414,108.258122,-0.0184937124,-0.0064399444,-0.9153453619,-0.3187447243,0.2000749672,0.2999693401
0.040000,0.204804,108.247115,-0.0366138145,-0.0127497890,-0.8966648443,-0.3122397300,0.2002978322,0.2998780729
0.060000,0.152644,108.228951,-0.0543603062,-0.0189295336,-0.8779843267,-0.3057347356,0.2006655055,0.2997271094
0.080000,0.080362,108.203781,-0.0717331875,-0.0249791784,-0.8593038091,-0.2992297412,0.2011748534,0.2995171629
0.100000,-0.011613,108.171753,-0.0887324585,-0.0308987233,-0.8406232915,-0.2927247468,0.2018227001,0.2992487628
0.120000,-0.122855,108.133016,-0.1053581192,-0.0366881683,-0.8219427739,-0.2862197525,0.2026058290,0.2989222693
0.140000,-0.252934,108.087719,-0.1216101695,-0.0423475134,-0.8032622563,-0.2797147581,0.2035209842,0.2985378873
0.160000,-0.401422,108.036012,-0.1374886095,-0.0478767586,-0.7845817388,-0.2732097637,0.2045648710,0.2980956802
0.180000,-0.567892,107.978044,-0.1529934391,-0.0532759039,-0.7659012212,-0.2667047693,0.2057341569,0.2975955830
0.200000,-0.751915,107.913963,-0.1681246583,-0.0585449494,-0.7472207036,-0.2601997750,0.2070254718,0.2970374159
0.220000,-0.953062,107.843918,-0.1828822672,-0.0636838949,-0.7285401860,-0.2536947806,0.2084354086,0.2964208969
0.240000,-1.170907,107.768060,-0.1972662657,-0.0686927406,-0.7098596684,-0.2471897862,0.2099605235,0.2957456547
0.260000,-1.405021,107.686536,-0.2112766539,-0.0735714864,-0.6911791508,-0.2406847918,0.2115973358,0.2950112408
0.280000,-1.654975,107.599496,-0.2249134318,-0.0783201323,-0.6724986332,-0.2341797975,0.2133423288,0.2942171420
0.300000,-1.920342,107.507089,-0.2381765993,-0.0829386783,-0.6538181156,-0.2276748031,0.2151919494,0.2933627917
0.320000,-2.200693,107.409464,-0.2510661564,-0.0874271244,-0.6351375980,-0.2211698087,0.2171426089,0.2924475818
0.340000,-2.495600,107.306770,-0.2635821032,-0.0917854706,-0.6164570804,-0.2146648144,0.2191906835,0.2914708741
0.360000,-2.804636,107.199157,-0.2757244396,-0.0960137170,-0.5977765629,-0.2081598200,0.2213325146,0.2904320111
0.380000,-3.127371,107.086773,-0.2874931657,-0.1001118634,-0.5790960453,-0.2016548256,0.2235644096,0.2893303266
0.400000,-3.463379,106.969767,-0.2988882814,-0.1040799100,-0.5604155277,-0.1951498312,0.2258826432,0.2881651567
0.420000,-3.812230,106.848289,-0.3099097868,-0.1079178567,-0.5417350101,-0.1886448369,0.2282834580,0.2869358494
0.440000,-4.173497,106.722487,-0.3205576818,-0.1116257035,-0.5230544925,-0.1821398425,0.2307630663,0.2856417746
0.460000,-4.546751,106.592511,-0.3308319665,-0.1152034504,-0.5043739749,-0.1756348481,0.2333176516,0.2842823340
0.480000,-4.931565,106.458510,-0.3407326408,-0.1186510974,-0.4856934573,-0.1691298537,0.2359433700,0.2828569698
0.500000,-5.327510,106.320633,-0.3502597048,-0.1219686445,-0.4670129397,-0.1626248594,0.2386363530,0.2813651743
0.520000,-5.734159,106.179028,-0.3594131584,-0.1251560918,-0.4483324221,-0.1561198650,0.2413927094,0.2798064977
0.540000,-6.151082,106.033846,-0.3681930017,-0.1282134391,-0.4296519046,-0.1496148706,0.2442085278,0.2781805571
0.560000,-6.577852,105.885234,-0.3765992346,-0.1311406866,-0.4109713870,-0.1431098762,0.2470798798,0.2764870441
0.580000,-7.014041,105.733343,-0.3846318572,-0.1339378342,-0.3922908694,-0.1366048819,0.2500028230,0.2747257322
0.600000,-7.459221,105.578321,-0.3922908694,-0.1366048819,-0.3736103518,-0.1300998875,0.2529734041,0.2728964842
0.620000,-7.912963,105.420318,-0.3995762712,-0.1391418297,-0.3549298342,-0.1235948931,0.2559876632,0.2709992592
0.640000,-8.374839,105.259481,-0.4064880627,-0.1415486776,-0.3362493166,-0.1170898987,0.2590416368,0.2690341185
0.660000,-8.844422,105.095962,-0.4130262439,-0.1438254256,-0.3175687990,-0.1105849044,0.2621313626,0.2670012322
0.680000,-9.321283,104.929907,-0.4191908147,-0.1459720738,-0.2988882814,-0.1040799100,0.2652528837,0.2649008845
0.700000,-9.804994,104.761468,-0.4249817752,-0.1479886220,-0.2802077638,-0.0975749156,0.2684022528,0.2627334789
0.720000,-10.295127,104.590792,-0.4303991253,-0.1498750704,-0.2615272463,-0.0910699212,0.2715755373,0.2604995433
0.740000,-10.791253,104.418029,-0.4354428650,-0.1516314189,-0.2428467287,-0.0845649269,0.2747688241,0.2581997339
0.760000,-11.292946,104.243328,-0.4401129944,-0.1532576675,-0.2241662111,-0.0780599325,0.2779782245,0.2558348396
0.780000,-11.799775,104.066838,-0.4444095134,-0.1547538162,-0.2054856935,-0.0715549381,0.2811998797,0.2534057852
