time,q1_deg,q2_deg,q1_des_deg,q2_des_deg,x,y,x_des,y_des,tau1,tau2,ee_error
0.000000,-20.476019,95.960106,-20.476019,95.960106,0.3600000000,0.2000000000,0.3600000000,0.2000000000,-0.3854504343,0.7260585505,0.0000000000
0.010000,-20.476019,95.960106,-20.242889,95.808609,0.3600000000,0.2000000000,0.3599901306,0.2012565854,2.1616654506,-0.5140386074,0.0012566241
0.020000,-20.409683,95.900896,-20.010732,95.660557,0.3600833891,0.2003352761,0.3599605248,0.2025128607,1.5338112812,-0.0513791219,0.0021810480
0.030000,-20.295066,95.806045,-19.779586,95.515983,0.3601869047,0.2009251472,0.3599111900,0.2037685161,1.0735111827,0.2394376665,0.0028567053
0.040000,-20.145443,95.690327,-19.549494,95.374920,0.3602771913,0.2017068769,0.3598421383,0.2050232416,0.7363557153,0.4226071437,0.0033447789
0.050000,-19.970570,95.563003,-19.320494,95.237399,0.3603380624,0.2026321175,0.3597533867,0.2062767277,0.4897005672,0.5383467180,0.0036912097
0.060000,-19.777625,95.429883,-19.092625,95.103450,0.3603628995,0.2036638784,0.3596449572,0.2075286651,0.3095497174,0.6118512686,0.0039309054
0.070000,-19.571884,95.294612,-18.865927,94.973104,0.3603501863,0.2047740236,0.3595168764,0.2087787449,0.1782643425,0.6589040141,0.0040905009
0.080000,-19.357227,95.159479,-18.640438,94.846391,0.3603009346,0.2059412529,0.3593691761,0.2100266587,0.0828786841,0.6893918536,0.0041903119
0.090000,-19.136511,95.025924,-18.416195,94.723337,0.3602172419,0.2071495007,0.3592018926,0.2112720986,0.0138620710,0.7095077762,0.0042457917
0.100000,-18.911839,94.894855,-18.193236,94.603973,0.3601015149,0.2083866818,0.3590150672,0.2125147572,-0.0357911009,0.7231306778,0.0042686503
0.110000,-18.684758,94.766847,-17.971598,94.488324,0.3599560788,0.2096437214,0.3588087461,0.2137543280,-0.0712303126,0.7326898053,0.0042677230
0.120000,-18.456410,94.642263,-17.751315,94.376416,0.3597830028,0.2109138096,0.3585829801,0.2149905052,-0.0962406534,0.7397063108,0.0042496472
0.130000,-18.227637,94.521338,-17.532425,94.268276,0.3595840452,0.2121918345,0.3583378248,0.2162229836,-0.1136042863,0.7451325167,0.0042193872
0.140000,-17.999063,94.404224,-17.314962,94.163928,0.3593606573,0.2134739520,0.3580733410,0.2174514593,-0.1253661544,0.7495644455,0.0041806396
0.150000,-17.771149,94.291020,-17.098961,94.063395,0.3591140156,0.2147572625,0.3577895936,0.2186756291,-0.1330292978,0.7533749554,0.0041361444
0.160000,-17.544238,94.181794,-16.884456,93.966701,0.3588450637,0.2160395675,0.3574866529,0.2198951910,-0.1376984269,0.7567971353,0.0040879227
0.170000,-17.318585,94.076593,-16.671480,93.873869,0.3585545548,0.2173191887,0.3571645935,0.2211098440,-0.1401854592,0.7599765432,0.0040374572
0.180000,-17.094383,93.975450,-16.460067,93.784919,0.3582430904,0.2185948321,0.3568234949,0.2223192885,-0.1410870982,0.7630039243,0.0039858283
0.190000,-16.871778,93.878391,-16.250248,93.699871,0.3579111527,0.2198654877,0.3564634412,0.2235232260,-0.1408418578,0.7659357035,0.0039338173
0.200000,-16.650880,93.785437,-16.042057,93.618747,0.3575591327,0.2211303548,0.3560845213,0.2247213595,-0.1397719805,0.7688068188,0.0038819832
0.210000,-16.431775,93.696603,-15.835524,93.541563,0.3571873514,0.2223887865,0.3556868287,0.2259133935,-0.1381142497,0.7716387586,0.0038307209
0.220000,-16.214529,93.611904,-15.630680,93.468339,0.3567960775,0.2236402491,0.3552704615,0.2270990336,-0.1360426382,0.7744445938,0.0037803035
0.230000,-15.999197,93.531353,-15.427557,93.399091,0.3563855411,0.2248842918,0.3548355225,0.2282779875,-0.1336849567,0.7772321291,0.0037309152
0.240000,-15.785822,93.454960,-15.226182,93.333836,0.3559559438,0.2261205247,0.3543821189,0.2294499642,-0.1311350910,0.7800058755,0.0036826746
0.250000,-15.574440,93.382735,-15.026587,93.272588,0.3555074670,0.2273486021,0.3539103626,0.2306146746,-0.1284619970,0.7827682856,0.0036356529
0.260000,-15.365083,93.314689,-14.828800,93.215362,0.3550402778,0.2285682108,0.3534203701,0.2317718313,-0.1257163125,0.7855205265,0.0035898865
0.270000,-15.157777,93.250829,-14.632848,93.162172,0.3545545336,0.2297790611,0.3529122621,0.2329211487,-0.1229352168,0.7882629635,0.0035453871
0.280000,-14.952547,93.191162,-14.438761,93.113029,0.3540503859,0.2309808807,0.3523861642,0.2340623433,-0.1201460026,0.7909954631,0.0035021487
0.290000,-14.749415,93.135697,-14.246564,93.067945,0.3535279826,0.2321734097,0.3518422061,0.2351951336,-0.1173687016,0.7937175829,0.0034601528
0.300000,-14.548400,93.084438,-14.056285,93.026932,0.3529874700,0.2333563972,0.3512805219,0.2363192400,-0.1146180138,0.7964286898,0.0034193726
0.310000,-14.349523,93.037393,-13.867951,92.989997,0.3524289944,0.2345295991,0.3507012504,0.2374343851,-0.1119047260,0.7991280346,0.0033797753
0.320000,-14.152802,92.994565,-13.681586,92.957151,0.3518527030,0.2356927761,0.3501045344,0.2385402939,-0.1092367537,0.8018147990,0.0033413248
0.330000,-13.958254,92.955958,-13.497216,92.928401,0.3512587450,0.2368456926,0.3494905212,0.2396366935,-0.1066199073,0.8044881243,0.0033039827
0.340000,-13.765897,92.921576,-13.314865,92.903754,0.3506472717,0.2379881157,0.3488593622,0.2407233133,-0.1040584547,0.8071471303,0.0032677096
0.350000,-13.575748,92.891423,-13.134559,92.883215,0.3500184376,0.2391198148,0.3482112131,0.2417998852,-0.1015555349,0.8097909267,0.0032324662
0.360000,-13.387823,92.865498,-12.956319,92.866789,0.3493724000,0.2402405609,0.3475462340,0.2428661436,-0.0991134619,0.8124186208,0.0031982130
0.370000,-13.202137,92.843804,-12.780170,92.854480,0.3487093198,0.2413501266,0.3468645889,0.2439218254,-0.0967339474,0.8150293223,0.0031649119
0.380000,-13.018708,92.826341,-12.606135,92.846292,0.3480293614,0.2424482858,0.3461664459,0.2449666702,-0.0944182655,0.8176221464,0.0031325252
0.390000,-12.837551,92.813108,-12.434234,92.842225,0.3473326927,0.2435348138,0.3454519774,0.2460004202,-0.0921673720,0.8201962157,0.0031010167
0.400000,-12.658681,92.804105,-12.264491,92.842282,0.3466194856,0.2446094870,0.3447213595,0.2470228202,-0.0899819939,0.8227506623,0.0030703517
0.410000,-12.482113,92.799328,-12.096925,92.846461,0.3458899155,0.2456720833,0.3439747727,0.2480336180,-0.0878626930,0.8252846280,0.0030404964
0.420000,-12.307862,92.798776,-11.931559,92.854762,0.3451441617,0.2467223816,0.3432124010,0.2490325643,-0.0858099143,0.8277972660,0.0030114188
0.430000,-12.135943,92.802444,-11.768411,92.867184,0.3443824074,0.2477601627,0.3424344326,0.2500194125,-0.0838240204,0.8302877410,0.0029830883
0.440000,-11.966371,92.810328,-11.607502,92.883722,0.3436048393,0.2487852084,0.3416410594,0.2509939192,-0.0819053171,0.8327552298,0.0029554754
0.450000,-11.799159,92.822422,-11.448851,92.904374,0.3428116481,0.2497973024,0.3408324772,0.2519558439,-0.0800540719,0.8351989220,0.0029285523
0.460000,-11.634323,92.838721,-11.292476,92.929134,0.3420030283,0.2507962301,0.3400088856,0.2529049492,-0.0782705281,0.8376180201,0.0029022925
0.470000,-11.471875,92.859217,-11.138397,92.957996,0.3411791781,0.2517817786,0.3391704876,0.2538410011,-0.0765549138,0.8400117403,0.0028766707
0.480000,-11.311830,92.883901,-10.986631,92.990954,0.3403402991,0.2527537369,0.3383174902,0.2547637685,-0.0749074499,0.8423793124,0.0028516631
0.490000,-11.154200,92.912767,-10.837194,93.028000,0.3394865969,0.2537118961,0.3374501038,0.2556730237,-0.0733283551,0.8447199802,0.0028272470
0.500000,-10.998999,92.945803,-10.690105,93.069126,0.3386182806,0.2546560492,0.3365685425,0.2565685425,-0.0718178495,0.8470330021,0.0028034010
0.510000,-10.846240,92.982999,-10.545380,93.114321,0.3377355629,0.2555859918,0.3356730237,0.2574501038,-0.0703761572,0.8493176512,0.0027801046
0.520000,-10.695936,93.024344,-10.403035,93.163574,0.3368386600,0.2565015215,0.3347637685,0.2583174902,-0.0690035086,0.8515732154,0.0027573388
0.530000,-10.548098,93.069825,-10.263086,93.216876,0.3359277914,0.2574024384,0.3338410011,0.2591704876,-0.0677001413,0.8537989978,0.0027350853
