time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.000000,0.247046,108.261824,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2000000000,0.3000000000
0.020000,-0.261401,108.387008,-0.4437039220,0.1092432775,-22.1851960998,5.4621638751,0.2020000000,0.2980000000
0.040000,-0.768480,108.507167,-0.4425099370,0.1048589611,0.0596992503,-0.2192158220,0.2040000000,0.2960000000
0.060000,-1.274137,108.622293,-0.4412687196,0.1004658969,0.0620608691,-0.2196532093,0.2060000000,0.2940000000
0.080000,-1.778317,108.732374,-0.4399796812,0.0960643373,0.0644519217,-0.2200779769,0.2080000000,0.2920000000
0.100000,-2.280964,108.837403,-0.4386422655,0.0916545497,0.0668707828,-0.2204893841,0.2100000000,0.2900000000
0.120000,-2.782022,108.937369,-0.4372559499,0.0872368154,0.0693157797,-0.2208867148,0.2120000000,0.2880000000
0.140000,-3.281435,109.032264,-0.4358202460,0.0828114298,0.0717851947,-0.2212692777,0.2140000000,0.2860000000
0.160000,-3.779146,109.122079,-0.4343347007,0.0783787016,0.0742772667,-0.2216364082,0.2160000000,0.2840000000
0.180000,-4.275097,109.206807,-0.4327988968,0.0739389523,0.0767901942,-0.2219874692,0.2180000000,0.2820000000
0.200000,-4.769230,109.286439,-0.4312124541,0.0694925152,0.0793221377,-0.2223218514,0.2200000000,0.2800000000
0.220000,-5.261487,109.360969,-0.4295750296,0.0650397357,0.0818712223,-0.2226389750,0.2220000000,0.2780000000
0.240000,-5.751809,109.430390,-0.4278863188,0.0605809699,0.0844355405,-0.2229382905,0.2240000000,0.2760000000
0.260000,-6.240136,109.494695,-0.4261460557,0.0561165843,0.0870131554,-0.2232192792,0.2260000000,0.2740000000
0.280000,-6.726410,109.553878,-0.4243540136,0.0516469553,0.0896021039,-0.2234814542,0.2280000000,0.2720000000
0.300000,-7.210571,109.607934,-0.4225100056,0.0471724680,0.0922003997,-0.2237243614,0.2300000000,0.2700000000
0.320000,-7.692559,109.656857,-0.4206138849,0.0426935164,0.0948060368,-0.2239475800,0.2320000000,0.2680000000
0.340000,-8.172314,109.700643,-0.4186655450,0.0382105020,0.0974169933,-0.2241507234,0.2340000000,0.2660000000
0.360000,-8.649777,109.739287,-0.4166649203,0.0337238332,0.1000312344,-0.2243334396,0.2360000000,0.2640000000
0.380000,-9.124887,109.772787,-0.4146119860,0.0292339249,0.1026467165,-0.2244954122,0.2380000000,0.2620000000
0.400000,-9.597585,109.801138,-0.4125067582,0.0247411977,0.1052613910,-0.2246363605,0.2400000000,0.2600000000
0.420000,-10.067811,109.824339,-0.4103492940,0.0202460769,0.1078732075,-0.2247560403,0.2420000000,0.2580000000
0.440000,-10.535504,109.842386,-0.4081396917,0.0157489920,0.1104801184,-0.2248542442,0.2440000000,0.2560000000
0.460000,-11.000606,109.855278,-0.4058780900,0.0112503760,0.1130800822,-0.2249308021,0.2460000000,0.2540000000
0.480000,-11.463057,109.863013,-0.4035646687,0.0067506644,0.1156710676,-0.2249855813,0.2480000000,0.2520000000
0.500000,-11.922798,109.865592,-0.4011996475,0.0022502946,0.1182510574,-0.2250184868,0.2500000000,0.2500000000
0.520000,-12.379770,109.863013,-0.3987832865,-0.0022502946,0.1208180523,-0.2250294617,0.2520000000,0.2480000000
0.540000,-12.833915,109.855278,-0.3963158850,-0.0067506644,0.1233700746,-0.2250184868,0.2540000000,0.2460000000
0.560000,-13.285174,109.842386,-0.3937977815,-0.0112503760,0.1259051723,-0.2249855813,0.2560000000,0.2440000000
0.580000,-13.733490,109.824339,-0.3912293531,-0.0157489920,0.1284214226,-0.2249308021,0.2580000000,0.2420000000
0.600000,-14.178805,109.801138,-0.3886110144,-0.0202460769,0.1309169358,-0.2248542442,0.2600000000,0.2400000000
0.620000,-14.621064,109.772787,-0.3859432172,-0.0247411977,0.1333898584,-0.2247560403,0.2620000000,0.2380000000
0.640000,-15.060209,109.739287,-0.3832264496,-0.0292339249,0.1358383775,-0.2246363605,0.2640000000,0.2360000000
0.660000,-15.496185,109.700643,-0.3804612352,-0.0337238332,0.1382607231,-0.2244954122,0.2660000000,0.2340000000
0.680000,-15.928938,109.656857,-0.3776481317,-0.0382105020,0.1406551723,-0.2243334396,0.2680000000,0.2320000000
0.700000,-16.358413,109.607934,-0.3747877307,-0.0426935164,0.1430200518,-0.2241507234,0.2700000000,0.2300000000
0.720000,-16.784557,109.553878,-0.3718806559,-0.0471724680,0.1453537414,-0.2239475800,0.2720000000,0.2280000000
0.740000,-17.207317,109.494695,-0.3689275623,-0.0516469553,0.1476546767,-0.2237243614,0.2740000000,0.2260000000
0.760000,-17.626641,109.430390,-0.3659291353,-0.0561165843,0.1499213515,-0.2234814542,0.2760000000,0.2240000000
0.780000,-18.042478,109.360969,-0.3628860889,-0.0605809699,0.1521523208,-0.2232192792,0.2780000000,0.2220000000
0.800000,-18.454777,109.286439,-0.3597991648,-0.0650397357,0.1543462031,-0.2229382905,0.2800000000,0.2200000000
0.820000,-18.863490,109.206807,-0.3566691312,-0.0694925152,0.1565016821,-0.2226389750,0.2820000000,0.2180000000
