time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.000000,0.247046,108.261824,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.2000000000,0.3000000000
0.020000,0.246695,108.261702,-0.0009154388,-0.0003187772,-0.0906191908,-0.0315557277,0.2000024782,0.2999989868
0.040000,0.244277,108.260860,-0.0035881538,-0.0012494793,-0.1757463095,-0.0611989871,0.2000195269,0.2999920159
0.060000,0.237841,108.258619,-0.0079094245,-0.0027542471,-0.2554934391,-0.0889688081,0.2000649037,0.2999734571
0.080000,0.225561,108.254342,-0.0137727720,-0.0047960023,-0.3299726627,-0.1149042206,0.2001514936,0.2999380215
0.100000,0.205727,108.247436,-0.0210739589,-0.0073384468,-0.3992960635,-0.1390442548,0.2002913241,0.2998807406
0.120000,0.176753,108.237346,-0.0297109896,-0.0103460635,-0.4635757245,-0.1614279404,0.2004955797,0.2997969406
0.140000,0.137163,108.223560,-0.0395841102,-0.0137841156,-0.5229237289,-0.1820943075,0.2007746150,0.2996822154
0.160000,0.085598,108.205604,-0.0505958083,-0.0176186472,-0.5774521597,-0.2010823861,0.2011379687,0.2995323980
0.180000,0.020807,108.183042,-0.0626508133,-0.0218164827,-0.6272731001,-0.2184312061,0.2015943759,0.2993435313
0.200000,-0.058350,108.155478,-0.0756560962,-0.0263452272,-0.6724986332,-0.2341797975,0.2021517809,0.2991118392
0.220000,-0.152912,108.122549,-0.0895208698,-0.0311732666,-0.7132408421,-0.2483671902,0.2028173504,0.2988336992
0.240000,-0.263812,108.083931,-0.1041565883,-0.0362697670,-0.7496118098,-0.2610324143,0.2035974857,0.2985056162
0.260000,-0.391883,108.039334,-0.1194769478,-0.0416046755,-0.7817236196,-0.2722144996,0.2044978353,0.2981241981
0.280000,-0.537862,107.988501,-0.1353978859,-0.0471487196,-0.8096883544,-0.2819524762,0.2055233077,0.2976861353
0.300000,-0.702390,107.931208,-0.1518375820,-0.0528734074,-0.8336180974,-0.2902853740,0.2066780840,0.2971881814
0.320000,-0.886016,107.867265,-0.1687164571,-0.0587510276,-0.8536249318,-0.2972522229,0.2079656308,0.2966271382
0.340000,-1.089198,107.796513,-0.1859571738,-0.0647546495,-0.8698209405,-0.3028920531,0.2093887130,0.2959998437
0.360000,-1.312308,107.718821,-0.2034846364,-0.0708581231,-0.8823182068,-0.3072438943,0.2109494069,0.2953031638
0.380000,-1.555632,107.634089,-0.2212259910,-0.0770360789,-0.8912288137,-0.3103467766,0.2126491138,0.2945339869
0.400000,-1.819375,107.542248,-0.2391106251,-0.0832639280,-0.8966648443,-0.3122397300,0.2144885734,0.2936892231
0.420000,-2.103662,107.443252,-0.2570701682,-0.0895178621,-0.8987383817,-0.3129617843,0.2164678777,0.2927658064
0.440000,-2.408540,107.337087,-0.2750384910,-0.0957748536,-0.8975615091,-0.3125519697,0.2185864858,0.2917607000
