time,q1_deg,q2_deg,q1_dot,q2_dot,q1_des_deg,q2_des_deg,q1_dot_des,q2_dot_des,tau1,tau2,err1_deg,err2_deg
0.000000,0.000000,0.000000,0.0000000000,0.0000000000,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-5.0000000000,90.000000,-45.000000
0.010000,0.130218,-0.238732,0.2272727273,-0.4166666667,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-5.0000000000,89.869782,-44.761268
0.020000,0.387312,-0.710161,0.4487138431,-0.8227982955,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-5.0000000000,89.612688,-44.289839
0.030000,0.767941,-1.408335,0.6643232040,-1.2185428327,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-5.0000000000,89.232059,-43.591665
0.040000,1.268766,-2.327386,0.8741045557,-1.6040473818,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-4.3887525912,88.731234,-42.672614
0.050000,1.886452,-3.432347,1.0780654796,-1.9285208700,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-3.0672823670,88.113548,-41.567653
0.060000,2.617668,-4.655170,1.2762131982,-2.1342286066,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-2.1109971173,87.382332,-40.344830
0.070000,3.459085,-5.946942,1.4685499588,-2.2545672166,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-1.4207859665,86.540915,-39.053058
0.080000,4.407374,-7.272703,1.6550760352,-2.3138888888,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-0.9242188925,85.592626,-37.727297
0.090000,5.459205,-8.607657,1.8357919607,-2.3299356217,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-0.5683730431,84.540795,-36.392343
0.100000,6.611252,-9.934409,2.0107002056,-2.3156189512,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-0.3145875921,83.388748,-35.065591
0.110000,7.860189,-11.240937,2.1798064546,-2.2803211396,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-0.1346286223,82.139811,-33.759063
0.120000,9.202698,-12.519118,2.3431205994,-2.2308464782,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,-0.0078849626,80.797302,-32.480882
0.130000,10.635469,-13.763649,2.5006575274,-2.1721167633,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,0.0806821573,79.364531,-31.236351
0.140000,12.155204,-14.971261,2.6524377662,-2.1076797111,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,0.1420382476,77.844796,-30.028739
0.150000,13.758620,-16.140141,2.7984880244,-2.0400805931,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,0.1841716353,76.241380,-28.859859
0.160000,15.442452,-17.269517,2.9388416593,-1.9711338534,90.000000,-45.000000,0.0000000000,0.0000000000,5.0000000000,0.2128947953,74.557548,-27.730483
