time,q1_deg,q2_deg,q1_dot,q2_dot,q1_des_deg,q2_des_deg,q1_dot_des,q2_dot_des,tau1,tau2,err1_deg,err2_deg
0.000000,0.247046,108.261824,0.0000000000,0.0000000000,0.247046,108.261824,0.0000000000,0.0000000000,0.1775882183,0.7112058913,0.000000,0.000000
0.010000,0.247046,108.261824,0.0000000000,0.0000000000,0.243108,108.261551,-0.0137219958,-0.0009523849,0.0936068455,0.7068343010,-0.003938,-0.000273
0.020000,0.244859,108.261615,-0.0038173351,-0.0003642992,0.231348,108.260734,-0.0273060822,-0.0018951981,0.0309376836,0.7040500911,-0.013511,-0.000881
0.030000,0.238909,108.261070,-0.0103851675,-0.0009523380,0.211844,108.259381,-0.0407522590,-0.0028284396,-0.0161693867,0.7022698143,-0.027064,-0.001689
0.040000,0.228067,108.260109,-0.0189227762,-0.0016762810,0.184676,108.257495,-0.0540605264,-0.0037521094,-0.0519231653,0.7011293876,-0.043391,-0.002614
0.050000,0.211532,108.258688,-0.0288588891,-0.0024812449,0.149922,108.255083,-0.0672308842,-0.0046662075,-0.0794040872,0.7004016175,-0.061610,-0.003605
0.060000,0.188742,108.256778,-0.0397755566,-0.0033329406,0.107661,108.252150,-0.0802633325,-0.0055707338,-0.1008665404,0.6999447042,-0.081081,-0.004628
0.070000,0.159311,108.254366,-0.0513670627,-0.0042099504,0.057973,108.248701,-0.0931578713,-0.0064656885,-0.1179601875,0.6996700971,-0.101338,-0.005665
0.080000,0.122980,108.251444,-0.0634098449,-0.0050989001,0.000936,108.244743,-0.1059145006,-0.0073510715,-0.1318919920,0.6995224324,-0.122043,-0.006702
0.090000,0.079584,108.248011,-0.0757404741,-0.0059914427,-0.063370,108.240279,-0.1185332204,-0.0082268827,-0.1435448343,0.6994670159,-0.142953,-0.007732
0.100000,0.029026,108.244068,-0.0882395337,-0.0068823725,-0.134866,108.235317,-0.1310140307,-0.0090931222,-0.1535643482,0.6994820157,-0.163892,-0.008751
0.110000,-0.028739,108.239617,-0.1008198188,-0.0077684466,-0.213474,108.229861,-0.1433569315,-0.0099497901,-0.1624224919,0.6995535948,-0.184735,-0.009756
0.120000,-0.093723,108.234662,-0.1134176973,-0.0086476486,-0.299115,108.223917,-0.1555619228,-0.0107968862,-0.1704640863,0.6996728773,-0.205392,-0.010745
0.130000,-0.165908,108.229209,-0.1259867856,-0.0095187282,-0.391709,108.217491,-0.1676290046,-0.0116344106,-0.1779408855,0.6998340597,-0.225801,-0.011718
0.140000,-0.245259,108.223261,-0.1384933195,-0.0103809133,-0.491177,108.210587,-0.1795581768,-0.0124623633,-0.1850365172,0.7000332346,-0.245918,-0.012674
0.150000,-0.331726,108.216824,-0.1509127653,-0.0112337308,-0.597441,108.203212,-0.1913494396,-0.0132807443,-0.1918847421,0.7002676600,-0.265715,-0.013613
0.160000,-0.425248,108.209905,-0.1632273390,-0.0120768934,-0.710421,108.195370,-0.2030027929,-0.0140895536,-0.1985828200,0.7005353050,-0.285173,-0.014534
0.170000,-0.525759,108.202508,-0.1754241912,-0.0129102303,-0.830039,108.187068,-0.2145182366,-0.0148887912,-0.2052012944,0.7008345687,-0.304280,-0.015440
0.180000,-0.633185,108.194639,-0.1874940778,-0.0137336426,-0.956215,108.178311,-0.2258957709,-0.0156784571,-0.2117911558,0.7011641059,-0.323030,-0.016328
0.190000,-0.747450,108.186304,-0.1994303875,-0.0145470764,-1.088870,108.169104,-0.2371353956,-0.0164585513,-0.2183890846,0.7015227196,-0.341420,-0.017200
0.200000,-0.868475,108.177509,-0.2112284301,-0.0153505053,-1.227925,108.159453,-0.2482371108,-0.0172290737,-0.2250212896,0.7019092950,-0.359450,-0.018056
0.210000,-0.996179,108.168259,-0.2228849159,-0.0161439202,-1.373302,108.149363,-0.2592009166,-0.0179900245,-0.2317063172,0.7023227594,-0.377124,-0.018897
0.220000,-1.130479,108.158560,-0.2343975741,-0.0169273221,-1.524921,108.138839,-0.2700268128,-0.0187414035,-0.2384571077,0.7027620577,-0.394443,-0.019721
0.230000,-1.271291,108.148419,-0.2457648747,-0.0177007182,-1.682704,108.127888,-0.2807147995,-0.0194832109,-0.2452825005,0.7032261381,-0.411412,-0.020530
0.240000,-1.418534,108.137840,-0.2569858246,-0.0184641194,-1.846571,108.116515,-0.2912648767,-0.0202154465,-0.2521883353,0.7037139437,-0.428037,-0.021325
0.250000,-1.572120,108.126829,-0.2680598183,-0.0192175386,-2.016443,108.104725,-0.3016770444,-0.0209381104,-0.2591782579,0.7042244074,-0.444322,-0.022104
0.260000,-1.731968,108.115392,-0.2789865292,-0.0199609896,-2.192241,108.092524,-0.3119513026,-0.0216512027,-0.2662543104,0.7047564502,-0.460273,-0.022868
0.270000,-1.897992,108.103535,-0.2897658304,-0.0206944868,-2.373886,108.079916,-0.3220876513,-0.0223547232,-0.2734173617,0.7053089796,-0.475894,-0.023619
0.280000,-2.070107,108.091263,-0.3003977362,-0.0214180444,-2.561300,108.066909,-0.3320860905,-0.0230486720,-0.2806674236,0.7058808898,-0.491193,-0.024354
0.290000,-2.248229,108.078583,-0.3108823604,-0.0221316766,-2.754402,108.053506,-0.3419466202,-0.0237330491,-0.2880038809,0.7064710621,-0.506173,-0.025076
0.300000,-2.432275,108.065499,-0.3212198848,-0.0228353970,-2.953115,108.039715,-0.3516692404,-0.0244078545,-0.2954256603,0.7070783654,-0.520841,-0.025784
0.310000,-2.622159,108.052018,-0.3314105377,-0.0235292190,-3.157359,108.025539,-0.3612539510,-0.0250730881,-0.3029313530,0.7077016572,-0.535200,-0.026479
0.320000,-2.817798,108.038145,-0.3414545769,-0.0242131556,-3.367055,108.010985,-0.3707007522,-0.0257287501,-0.3105193045,0.7083397845,-0.549257,-0.027160
0.330000,-3.019108,108.023885,-0.3513522786,-0.0248872193,-3.582125,107.996058,-0.3800096439,-0.0263748404,-0.3181876806,0.7089915849,-0.563017,-0.027828
0.340000,-3.226005,108.009245,-0.3611039286,-0.0255514219,-3.802488,107.980763,-0.3891806260,-0.0270113589,-0.3259345142,0.7096558874,-0.576483,-0.028482
0.350000,-3.438406,107.994231,-0.3707098165,-0.0262057750,-4.028066,107.965107,-0.3982136986,-0.0276383058,-0.3337577403,0.7103315138,-0.589660,-0.029124
0.360000,-3.656228,107.978847,-0.3801702312,-0.0268502898,-4.258781,107.949094,-0.4071088618,-0.0282556809,-0.3416552214,0.7110172795,-0.602553,-0.029753
0.370000,-3.879387,107.963099,-0.3894854583,-0.0274849769,-4.494553,107.932730,-0.4158661154,-0.0288634844,-0.3496247649,0.7117119946,-0.615166,-0.030369
