time,q1_deg,q2_deg,q1_dot,q2_dot,q1_des_deg,q2_des_deg,q1_dot_des,q2_dot_des,tau1,tau2,err1_deg,err2_deg
0.000000,0.247046,108.261824,0.0000000000,0.0000000000,0.247046,108.261824,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,0.000000
0.010000,0.242421,108.227866,-0.0080721917,-0.0592671576,0.243108,108.261551,-0.0137219958,-0.0009523849,-0.0336108963,0.2729987073,0.000687,0.033684
0.020000,0.232414,108.173827,-0.0174662233,-0.0943160912,0.231348,108.260734,-0.0273060822,-0.0018951981,-0.0594854588,0.4431967193,-0.001065,0.086907
0.030000,0.216490,108.108322,-0.0277917107,-0.1143277305,0.211844,108.259381,-0.0407522590,-0.0028284396,-0.0797093443,0.5492032300,-0.004646,0.151058
0.040000,0.194281,108.036684,-0.0387617801,-0.1250331896,0.184676,108.257495,-0.0540605264,-0.0037521094,-0.0958159971,0.6151348632,-0.009605,0.220812
0.050000,0.165538,107.962194,-0.0501657312,-0.1300088160,0.149922,108.255083,-0.0672308842,-0.0046662075,-0.1089323895,0.6560555352,-0.015617,0.292889
0.060000,0.130102,107.886859,-0.0618488984,-0.1314851289,0.107661,108.252150,-0.0802633325,-0.0055707338,-0.1198864047,0.6813744295,-0.022440,0.365291
0.070000,0.087876,107.811886,-0.0736978224,-0.1308521108,0.057973,108.248701,-0.0931578713,-0.0064656885,-0.1292859186,0.6969685107,-0.029903,0.436815
0.080000,0.038814,107.737989,-0.0856293358,-0.1289748290,0.000936,108.244743,-0.1059145006,-0.0073510715,-0.1375770164,0.7065083363,-0.037877,0.506754
0.090000,-0.017097,107.665572,-0.0975825323,-0.1263905812,-0.063370,108.240279,-0.1185332204,-0.0082268827,-0.1450868332,0.7122862159,-0.046273,0.574707
0.100000,-0.079843,107.594851,-0.1095128604,-0.1234320386,-0.134866,108.235317,-0.1310140307,-0.0090931222,-0.1520550684,0.7157335190,-0.055023,0.640466
0.110000,-0.149393,107.525922,-0.1213877796,-0.1203041622,-0.213474,108.229861,-0.1433569315,-0.0099497901,-0.1586571641,0.7177438137,-0.064081,0.703940
0.120000,-0.225702,107.458810,-0.1331835679,-0.1171322457,-0.299115,108.223917,-0.1555619228,-0.0107968862,-0.1650213468,0.7188747165,-0.073413,0.765107
0.130000,-0.308714,107.393497,-0.1448829742,-0.1139919212,-0.391709,108.217491,-0.1676290046,-0.0116344106,-0.1712411553,0.7194739821,-0.082995,0.823993
0.140000,-0.398366,107.329940,-0.1564734944,-0.1109278999,-0.491177,108.210587,-0.1795581768,-0.0124623633,-0.1773846488,0.7197582678,-0.092811,0.880647
0.150000,-0.494592,107.268081,-0.1679461042,-0.1079656744,-0.597441,108.203212,-0.1913494396,-0.0132807443,-0.1835011738,0.7198623364,-0.102849,0.935131
0.160000,-0.597320,107.207852,-0.1792943283,-0.1051188254,-0.710421,108.195370,-0.2030027929,-0.0140895536,-0.1896263361,0.7198697925,-0.113101,0.987518
0.170000,-0.706477,107.149185,-0.1905135571,-0.1023935833,-0.830039,108.187068,-0.2145182366,-0.0148887912,-0.1957856536,0.7198322842,-0.123562,1.037884
0.180000,-0.821985,107.092008,-0.2016005450,-0.0997916733,-0.956215,108.178311,-0.2258957709,-0.0156784571,-0.2019972400,0.7197814979,-0.134229,1.086303
0.190000,-0.943769,107.036253,-0.2125530419,-0.0973120902,-1.088870,108.169104,-0.2371353956,-0.0164585513,-0.2082737753,0.7197366523,-0.145101,1.132851
0.200000,-1.071750,106.981849,-0.2233695229,-0.0949522040,-1.227925,108.159453,-0.2482371108,-0.0172290737,-0.2146239539,0.7197091802,-0.156175,1.177604
0.210000,-1.205851,106.928731,-0.2340489904,-0.0927084470,-1.373302,108.149363,-0.2592009166,-0.0179900245,-0.2210535471,0.7197056531,-0.167452,1.220632
0.220000,-1.345991,106.876834,-0.2445908284,-0.0905767403,-1.524921,108.138839,-0.2700268128,-0.0187414035,-0.2275661834,0.7197296084,-0.178931,1.262005
0.230000,-1.492092,106.826097,-0.2549946962,-0.0885527578,-1.682704,108.127888,-0.2807147995,-0.0194832109,-0.2341639216,0.7197826917,-0.190612,1.301791
0.240000,-1.644075,106.776461,-0.2652604504,-0.0866320878,-1.846571,108.116515,-0.2912648767,-0.0202154465,-0.2408476708,0.7198653696,-0.202495,1.340054
0.250000,-1.801861,106.727868,-0.2753880880,-0.0848103317,-2.016443,108.104725,-0.3016770444,-0.0209381104,-0.2476174991,0.7199773754,-0.214582,1.376857
0.260000,-1.965370,106.680265,-0.2853777046,-0.0830831628,-2.192241,108.092524,-0.3119513026,-0.0216512027,-0.2544728595,0.7201179881,-0.226870,1.412259
0.270000,-2.134524,106.633600,-0.2952294641,-0.0814463610,-2.373886,108.079916,-0.3220876513,-0.0223547232,-0.2614127558,0.7202862056,-0.239362,1.446317
