time,q1_deg,q2_deg,q1_des_deg,q2_des_deg,x,y,x_des,y_des,tau1,tau2,ee_error
0.000000,0.247046,108.261824,0.247046,108.261824,0.2000000000,0.3000000000,0.2000000000,0.3000000000,0.1775882181,0.7112058910,0.0000000000
0.010000,0.247046,108.261824,0.247002,108.261809,0.2000000000,0.3000000000,0.2000003121,0.2999998724,0.1761826139,0.7108387927,0.0000003372
0.020000,0.247009,108.261807,0.246695,108.261702,0.2000002831,0.2999999028,0.2000024782,0.2999989868,0.1723460862,0.7098763398,0.0000023786
0.030000,0.246837,108.261726,0.245869,108.261414,0.2000016047,0.2999994424,0.2000083007,0.2999966062,0.1667463257,0.7085469947,0.0000072719
0.040000,0.246387,108.261520,0.244277,108.260860,0.2000050332,0.2999982300,0.2000195269,0.2999920159,0.1598713461,0.7069943220,0.0000157696
0.050000,0.245487,108.261119,0.241678,108.259955,0.2000118389,0.2999957900,0.2000378487,0.2999845233,0.1520776658,0.7053088250,0.0000283451
0.060000,0.243947,108.260445,0.237841,108.258619,0.2000234177,0.2999915873,0.2000649037,0.2999734571,0.1436255805,0.7035478381,0.0000452746
0.070000,0.241562,108.259422,0.232541,108.256773,0.2000412378,0.2999850481,0.2001022753,0.2999581666,0.1347049852,0.7017479546,0.0000666947
0.080000,0.238124,108.257971,0.225561,108.254342,0.2000668023,0.2999755752,0.2001514936,0.2999380215,0.1254542771,0.6999327906,0.0000926439
0.090000,0.233421,108.256015,0.216690,108.251253,0.2001016231,0.2999625597,0.2002140351,0.2999124105,0.1159741936,0.6981178347,0.0001230911
0.100000,0.227240,108.253480,0.205727,108.247436,0.2001472025,0.2999453892,0.2002913241,0.2998807406,0.1063379412,0.6963134774,0.0001579572
0.110000,0.219371,108.250291,0.192477,108.242822,0.2002050201,0.2999234536,0.2003847323,0.2998424368,0.0965986106,0.6945269019,0.0001971298
0.120000,0.209609,108.246378,0.176753,108.237346,0.2002765243,0.2998961495,0.2004955797,0.2997969406,0.0867946034,0.6927632656,0.0002404738
0.130000,0.197752,108.241672,0.158372,108.230946,0.2003631254,0.2998628830,0.2006251347,0.2997437093,0.0769536047,0.6910264369,0.0002878390
0.140000,0.183605,108.236106,0.137163,108.223560,0.2004661912,0.2998230715,0.2007746150,0.2996822154,0.0670954897,0.6893194546,0.0003390659
0.150000,0.166978,108.229617,0.112958,108.215131,0.2005870446,0.2997761449,0.2009451875,0.2996119451,0.0572344511,0.6876448143,0.0003939897
0.160000,0.147687,108.222143,0.085598,108.205604,0.2007269608,0.2997215457,0.2011379687,0.2995323980,0.0473805551,0.6860046473,0.0004524427
0.170000,0.125556,108.213624,0.054929,108.194925,0.2008871665,0.2996587297,0.2013540257,0.2994430857,0.0375408802,0.6844008308,0.0005142566
0.180000,0.100415,108.204006,0.020807,108.183042,0.2010688387,0.2995871655,0.2015943759,0.2993435313,0.0277203495,0.6828350567,0.0005792641
0.190000,0.072101,108.193233,-0.016909,108.169909,0.2012731047,0.2995063342,0.2018599876,0.2992332681,0.0179223390,0.6813088742,0.0006472995
0.200000,0.040458,108.181254,-0.058350,108.155478,0.2015010413,0.2994157288,0.2021517809,0.2991118392,0.0081491225,0.6798237155,0.0007181998
0.210000,0.005335,108.168019,-0.103645,108.139705,0.2017536753,0.2993148538,0.2024706272,0.2989787964,-0.0015978038,0.6783809117,0.0007918047
0.220000,-0.033409,108.153482,-0.152912,108.122549,0.2020319834,0.2992032239,0.2028173504,0.2988336992,-0.0113174848,0.6769817021,0.0008679573
0.230000,-0.075910,108.137598,-0.206265,108.103970,0.2023368923,0.2990803641,0.2031927268,0.2986761147,-0.0210093338,0.6756272400,0.0009465042
0.240000,-0.122297,108.120324,-0.263812,108.083931,0.2026692793,0.2989458083,0.2035974857,0.2985056162,-0.0306730068,0.6743185954,0.0010272956
0.250000,-0.172693,108.101621,-0.325653,108.062397,0.2030299723,0.2987990988,0.2040323097,0.2983217826,-0.0403083122,0.6730567568,0.0011101851
0.260000,-0.227214,108.081451,-0.391883,108.039334,0.2034197504,0.2986397853,0.2044978353,0.2981241981,-0.0499151441,0.6718426320,0.0011950302
0.270000,-0.285968,108.059778,-0.462592,108.014712,0.2038393442,0.2984674248,0.2049946529,0.2979124515,-0.0594934354,0.6706770482,0.0012816917
0.280000,-0.349059,108.036569,-0.537862,107.988501,0.2042894361,0.2982815800,0.2055233077,0.2976861353,-0.0690431237,0.6695607519,0.0013700342
0.290000,-0.416583,108.011792,-0.617771,107.960675,0.2047706610,0.2980818196,0.2060842996,0.2974448456,-0.0785641268,0.6684944087,0.0014599254
0.300000,-0.488631,107.985418,-0.702390,107.931208,0.2052836066,0.2978677169,0.2066780840,0.2971881814,-0.0880563263,0.6674786034,0.0015512368
0.310000,-0.565286,107.957421,-0.791785,107.900079,0.2058288138,0.2976388496,0.2073050720,0.2969157443,-0.0975195554,0.6665138393,0.0016438429
0.320000,-0.646627,107.927774,-0.886016,107.867265,0.2064067770,0.2973947994,0.2079656308,0.2966271382,-0.1069535910,0.6656005383,0.0017376216
0.330000,-0.732726,107.896455,-0.985137,107.832749,0.2070179449,0.2971351511,0.2086600842,0.2963219688,-0.1163581488,0.6647390407,0.0018324538
0.340000,-0.823649,107.863443,-1.089198,107.796513,0.2076627208,0.2968594928,0.2093887130,0.2959998437,-0.1257328799,0.6639296057,0.0019282234
0.350000,-0.919457,107.828718,-1.198242,107.758541,0.2083414628,0.2965674150,0.2101517552,0.2956603719,-0.1350773691,0.6631724106,0.0020248175
0.360000,-1.020204,107.792265,-1.312308,107.718821,0.2090544847,0.2962585104,0.2109494069,0.2953031638,-0.1443911346,0.6624675520,0.0021221257
0.370000,-1.125939,107.754066,-1.431428,107.677340,0.2098020562,0.2959323741,0.2117818222,0.2949278311,-0.1536736275,0.6618150457,0.0022200406
0.380000,-1.236706,107.714110,-1.555632,107.634089,0.2105844032,0.2955886028,0.2126491138,0.2945339869,-0.1629242327,0.6612148272,0.0023184575
0.390000,-1.352542,107.672384,-1.684942,107.589061,0.2114017086,0.2952267951,0.2135513538,0.2941212456,-0.1721422702,0.6606667525,0.0024172741
0.400000,-1.473482,107.628878,-1.819375,107.542248,0.2122541128,0.2948465513,0.2144885734,0.2936892231,-0.1813269956,0.6601705987,0.0025163908
0.410000,-1.599551,107.583585,-1.958946,107.493646,0.2131417137,0.2944474733,0.2154607641,0.2932375369,-0.1904776024,0.6597260652,0.0026157104
0.420000,-1.730773,107.536499,-2.103662,107.443252,0.2140645675,0.2940291649,0.2164678777,0.2927658064,-0.1995932226,0.6593327741,0.0027151380
0.430000,-1.867165,107.487615,-2.253527,107.391066,0.2150226895,0.2935912316,0.2175098269,0.2922736528,-0.2086729290,0.6589902721,0.0028145810
0.440000,-2.008738,107.436930,-2.408540,107.337087,0.2160160538,0.2931332811,0.2185864858,0.2917607000,-0.2177157366,0.6586980311,0.0029139492
0.450000,-2.155501,107.384443,-2.568695,107.281317,0.2170445944,0.2926549231,0.2196976905,0.2912265746,-0.2267206042,0.6584554501,0.0030131543
0.460000,-2.307455,107.330156,-2.733983,107.223760,0.2181082057,0.2921557702,0.2208432392,0.2906709061,-0.2356864358,0.6582618565,0.0031121101
0.470000,-2.464598,107.274068,-2.904388,107.164421,0.2192067427,0.2916354374,0.2220228931,0.2900933281,-0.2446120827,0.6581165076,0.0032107327
0.480000,-2.626923,107.216186,-3.079891,107.103307,0.2203400216,0.2910935433,0.2232363768,0.2894934778,-0.2534963449,0.6580185927,0.0033089399
0.490000,-2.794419,107.156514,-3.260470,107.040425,0.2215078207,0.2905297100,0.2244833789,0.2888709974,-0.2623379725,0.6579672349,0.0034066514
0.500000,-2.967070,107.095058,-3.446098,106.975785,0.2227098804,0.2899435637,0.2257635524,0.2882255344,-0.2711356677,0.6579614928,0.0035037890
0.510000,-3.144855,107.031827,-3.636742,106.909398,0.2239459042,0.2893347353,0.2270765154,0.2875567419,-0.2798880859,0.6580003629,0.0036002760
0.520000,-3.327749,106.966831,-3.832367,106.841277,0.2252155588,0.2887028611,0.2284218517,0.2868642798,-0.2885938377,0.6580827819,0.0036960377
0.530000,-3.515724,106.900081,-4.032934,106.771434,0.2265184755,0.2880475829,0.2297991113,0.2861478152,-0.2972514900,0.6582076287,0.0037910010
0.540000,-3.708746,106.831590,-4.238401,106.699886,0.2278542499,0.2873685493,0.2312078112,0.2854070231,-0.3058595679,0.6583737270,0.0038850944
0.550000,-3.906778,106.761371,-4.448718,106.626649,0.2292224430,0.2866654159,0.2326474357,0.2846415873,-0.3144165558,0.6585798481,0.0039782481
0.560000,-4.109780,106.689440,-4.663837,106.551739,0.2306225818,0.2859378464,0.2341174378,0.2838512011,-0.3229208994,0.6588247129,0.0040703939
0.570000,-4.317705,106.615814,-4.883703,106.475177,0.2320541601,0.2851855128,0.2356172389,0.2830355683,-0.3313710068,0.6591069951,0.0041614651
0.580000,-4.530505,106.540510,-5.108258,106.396982,0.2335166387,0.2844080969,0.2371462303,0.2821944037,-0.3397652501,0.6594253239,0.0042513966
0.590000,-4.748127,106.463548,-5.337440,106.317175,0.2350094467,0.2836052905,0.2387037737,0.2813274341,-0.3481019672,0.6597782866,0.0043401245
0.600000,-4.970516,106.384949,-5.571185,106.235779,0.2365319820,0.2827767965,0.2402892018,0.2804343994,-0.3563794629,0.6601644320,0.0044275868
0.610000,-5.197611,106.304733,-5.809426,106.152819,0.2380836116,0.2819223300,0.2419018193,0.2795150532,-0.3645960108,0.6605822729,0.0045137225
0.620000,-5.429350,106.222924,-6.052090,106.068317,0.2396636733,0.2810416185,0.2435409036,0.2785691637,-0.3727498548,0.6610302894,0.0045984723
0.630000,-5.665664,106.139546,-6.299104,105.982301,0.2412714757,0.2801344035,0.2452057059,0.2775965148,-0.3808392106,0.6615069323,0.0046817781
0.640000,-5.906486,106.054624,-6.550390,105.894797,0.2429062994,0.2792004409,0.2468954515,0.2765969068,-0.3888622673,0.6620106257,0.0047635832
