condition,distractor_moved_m,duration_s,expert_pelvis_x,fell,final_pelvis_x,gait_commands,grasped,grasped_object,hand_error_mm,inferences,instruction,lift_m,reason,seed,stop_error_m,stop_error_other_m,success,target,task,tau_max,walk_units,walk_units_expert
seen,0.0,9.899999999999952,0.25327836628250927,False,0.25255276670079185,"[0.995, 0.993, 0.994, 0.995, 0.995, 0.996, 0.997, 0.996, 0.995, 0.995, 0.994, 0.994, 0.996, 0.996, 0.996, 0.996, 0.996, 0.994, 0.98, 0.99, 0.992, 0.998, 0.997, 0.992, 0.988, 0.998, 0.994, 0.995, 0.994, 0.988, 0.987, 0.994, 0.996, 0.984, 0.975, 0.953, 0.968, 0.948, 0.946, 0.95, 0.942, 0.959, 0.956, 0.953, 0.977, 0.967, 0.953, 0.967, 0.95, 0.941, 0.949, 0.934, 0.926, 0.919, 0.93, 0.919, 0.923, 0.898, 0.919, 0.917, 0.911, 0.918, 0.896, 0.965, 0.98, 0.986, 0.985, 0.98, 0.917, 0.93, 0.997, 0.988, 0.978, 0.974, 0.979, 0.96, 0.924, 0.855, 0.78, 0.757, 0.701, 0.572, 0.443, 0.433, 0.41, 0.363, 0.324, 0.313, 0.29, 0.277, 0.258, 0.247, 0.243, 0.21, 0.208]",False,,nan,98,walk to the red cup,0.0,,200,0.0007255995817174177,0.15100386014595968,True,cup,walk,50.997852685938255,2,2
seen,2.417551535636761e-09,13.248999999998096,0.0,False,0.0,[],False,,83.35185326115868,70,pick up the red cup,0.00010791351851191511,"lifted 0 mm, distractor moved 0 mm",200,nan,nan,False,cup,pick,49.00437001405702,0,0
wide,0.0,9.899999999999952,0.39153728532465193,False,0.25252800259205554,"[0.994, 0.993, 0.993, 0.993, 0.993, 0.995, 0.996, 0.996, 0.996, 0.995, 0.995, 0.994, 0.995, 0.995, 0.994, 0.993, 0.994, 0.993, 0.986, 0.988, 0.991, 0.996, 0.995, 0.983, 0.989, 0.998, 0.99, 0.992, 0.992, 0.985, 0.983, 0.996, 0.998, 0.995, 0.993, 0.991, 0.99, 0.99, 0.985, 0.981, 0.982, 0.986, 0.984, 0.983, 0.983, 0.984, 0.983, 0.978, 0.972, 0.971, 0.972, 0.955, 0.962, 0.945, 0.952, 0.909, 0.928, 0.938, 0.945, 0.937, 0.937, 0.914, 0.891, 0.954, 0.959, 0.985, 0.981, 0.979, 0.946, 0.932, 0.995, 0.987, 0.978, 0.969, 0.971, 0.957, 0.972, 0.83, 0.802, 0.782, 0.757, 0.717, 0.624, 0.621, 0.513, 0.438, 0.363, 0.348, 0.317, 0.303, 0.284, 0.249, 0.246, 0.218, 0.212]",False,,nan,98,walk to the red cup,0.0,"stopped at x=0.253, want 0.392 (the other object was closer)",1200,0.13900928273259638,0.01675091900091774,False,cup,walk,50.997852685938255,2,4
wide,2.7461505625524842e-09,15.049999999997098,0.0,False,0.0,[],False,,77.02079306210767,70,pick up the red cup,8.561901725567811e-05,"lifted 0 mm, distractor moved 0 mm",1200,nan,nan,False,cup,pick,56.04774313353681,0,0
paraphrase,0.0,9.899999999999952,0.25327836628250927,False,0.2524003634242046,"[0.977, 0.976, 0.979, 0.98, 0.98, 0.984, 0.985, 0.985, 0.985, 0.986, 0.985, 0.986, 0.987, 0.985, 0.984, 0.982, 0.974, 0.974, 0.947, 0.963, 0.969, 0.982, 0.969, 0.959, 0.951, 0.976, 0.963, 0.973, 0.974, 0.966, 0.96, 0.98, 0.981, 0.96, 0.945, 0.93, 0.939, 0.927, 0.925, 0.928, 0.926, 0.93, 0.927, 0.926, 0.952, 0.935, 0.927, 0.935, 0.92, 0.907, 0.904, 0.892, 0.848, 0.799, 0.851, 0.807, 0.819, 0.74, 0.802, 0.786, 0.77, 0.783, 0.737, 0.895, 0.935, 0.966, 0.961, 0.948, 0.855, 0.852, 0.985, 0.962, 0.947, 0.944, 0.946, 0.918, 0.892, 0.799, 0.729, 0.684, 0.548, 0.419, 0.367, 0.351, 0.341, 0.297, 0.271, 0.261, 0.24, 0.232, 0.211, 0.201, 0.2, 0.166, 0.166]",False,,nan,98,approach the red cup,0.0,,200,0.0008780028583046939,0.15115626342254695,True,cup,walk,50.997852685938255,2,2
paraphrase,2.417551535636761e-09,13.248999999998096,0.0,False,0.0,[],False,,83.29716249624184,70,lift the red cup,8.86071427459445e-05,"lifted 0 mm, distractor moved 0 mm",200,nan,nan,False,cup,pick,49.00437001405702,0,0
seen,0.0,9.899999999999952,0.4035566268456027,False,0.25255210500797115,"[0.995, 0.994, 0.995, 0.995, 0.995, 0.996, 0.997, 0.996, 0.995, 0.995, 0.994, 0.994, 0.995, 0.996, 0.996, 0.996, 0.996, 0.994, 0.98, 0.99, 0.992, 0.998, 0.997, 0.992, 0.988, 0.998, 0.994, 0.994, 0.994, 0.988, 0.987, 0.993, 0.996, 0.985, 0.977, 0.955, 0.971, 0.949, 0.947, 0.952, 0.943, 0.962, 0.958, 0.956, 0.978, 0.969, 0.955, 0.969, 0.952, 0.943, 0.952, 0.935, 0.929, 0.922, 0.933, 0.923, 0.927, 0.904, 0.923, 0.923, 0.917, 0.923, 0.903, 0.967, 0.98, 0.987, 0.985, 0.98, 0.921, 0.931, 0.997, 0.988, 0.978, 0.974, 0.978, 0.961, 0.924, 0.856, 0.784, 0.76, 0.707, 0.591, 0.448, 0.44, 0.414, 0.367, 0.329, 0.315, 0.293, 0.281, 0.26, 0.249, 0.246, 0.212, 0.21]",False,,nan,98,walk to the blue box,0.0,"stopped at x=0.253, want 0.404 (the other object was closer)",200,0.15100452183763152,0.000726294419617135,False,box,walk,50.997852685938255,2,4
seen,1.3058759676242414e-07,15.049999999997098,0.0,False,0.0,[],False,,72.01244457236905,70,pick up the blue box,1.045888000505979e-05,"lifted 0 mm, distractor moved 0 mm",200,nan,nan,False,box,pick,56.04774313353681,0,0
wide,0.0,9.899999999999952,0.23577708360920452,False,0.252520265743493,"[0.994, 0.993, 0.994, 0.993, 0.993, 0.995, 0.996, 0.996, 0.996, 0.995, 0.995, 0.994, 0.995, 0.995, 0.994, 0.994, 0.994, 0.994, 0.986, 0.988, 0.991, 0.996, 0.995, 0.983, 0.99, 0.998, 0.99, 0.992, 0.992, 0.984, 0.983, 0.995, 0.998, 0.995, 0.993, 0.991, 0.99, 0.991, 0.985, 0.982, 0.983, 0.987, 0.984, 0.983, 0.983, 0.984, 0.983, 0.979, 0.973, 0.973, 0.973, 0.958, 0.964, 0.949, 0.956, 0.915, 0.933, 0.943, 0.949, 0.942, 0.941, 0.92, 0.898, 0.957, 0.961, 0.986, 0.981, 0.979, 0.948, 0.934, 0.995, 0.987, 0.978, 0.969, 0.97, 0.957, 0.972, 0.83, 0.804, 0.783, 0.761, 0.722, 0.638, 0.631, 0.521, 0.446, 0.368, 0.353, 0.321, 0.305, 0.287, 0.252, 0.249, 0.221, 0.214]",False,,nan,98,walk to the blue box,0.0,,1200,0.016743182134288492,0.1390169616487214,True,box,walk,50.997852685938255,2,2
wide,2.052726281774377e-05,13.248999999998096,0.0,False,0.0,[],False,,82.42357466237007,70,pick up the blue box,-1.042499420123022e-13,"lifted -0 mm, distractor moved 0 mm",1200,nan,nan,False,box,pick,49.00437001405702,0,0
paraphrase,0.0,9.899999999999952,0.4035566268456027,False,0.25236716630395045,"[0.977, 0.976, 0.98, 0.98, 0.98, 0.983, 0.985, 0.985, 0.985, 0.985, 0.985, 0.985, 0.986, 0.985, 0.984, 0.982, 0.974, 0.974, 0.946, 0.963, 0.969, 0.982, 0.97, 0.96, 0.952, 0.976, 0.963, 0.972, 0.974, 0.965, 0.961, 0.98, 0.982, 0.966, 0.95, 0.932, 0.944, 0.929, 0.927, 0.93, 0.927, 0.934, 0.931, 0.929, 0.957, 0.94, 0.93, 0.94, 0.924, 0.912, 0.912, 0.899, 0.86, 0.816, 0.863, 0.823, 0.832, 0.759, 0.815, 0.801, 0.785, 0.797, 0.754, 0.898, 0.939, 0.967, 0.962, 0.95, 0.864, 0.853, 0.985, 0.963, 0.948, 0.944, 0.946, 0.921, 0.892, 0.802, 0.731, 0.693, 0.569, 0.428, 0.373, 0.355, 0.344, 0.3, 0.275, 0.263, 0.243, 0.234, 0.213, 0.203, 0.202, 0.168, 0.168]",False,,nan,98,approach the blue box,0.0,"stopped at x=0.252, want 0.404 (the other object was closer)",200,0.15118946054165222,0.0009112331236378335,False,box,walk,50.997852685938255,2,4
paraphrase,0.026385052969195924,12.896999999998291,0.0,True,0.0,[],False,,94.3045121570983,49,lift the blue box,0.07904642042245646,pelvis dropped to 0.498 m at t=12.90s,200,nan,nan,False,box,pick,139.0,0,0
seen,0.0,9.899999999999952,0.2507326292998611,False,0.25252470320986625,"[0.995, 0.994, 0.995, 0.995, 0.994, 0.996, 0.997, 0.996, 0.996, 0.995, 0.994, 0.994, 0.996, 0.997, 0.996, 0.995, 0.994, 0.993, 0.979, 0.984, 0.99, 0.997, 0.997, 0.988, 0.985, 0.999, 0.995, 0.994, 0.993, 0.985, 0.982, 0.995, 0.997, 0.989, 0.983, 0.986, 0.971, 0.965, 0.95, 0.972, 0.951, 0.985, 0.985, 0.983, 0.983, 0.984, 0.98, 0.958, 0.973, 0.935, 0.942, 0.929, 0.955, 0.931, 0.968, 0.936, 0.93, 0.934, 0.963, 0.962, 0.966, 0.965, 0.961, 0.962, 0.949, 0.973, 0.978, 0.968, 0.924, 0.925, 0.997, 0.988, 0.978, 0.977, 0.977, 0.958, 0.947, 0.832, 0.782, 0.767, 0.715, 0.669, 0.467, 0.444, 0.436, 0.39, 0.346, 0.33, 0.302, 0.295, 0.269, 0.255, 0.25, 0.228, 0.219]",False,,nan,98,walk to the red cup,0.0,,201,0.001792073910005132,0.15931478465837623,True,cup,walk,50.997852685938255,2,2
seen,2.4173856516114557e-09,13.248999999998096,0.0,False,0.0,[],False,,83.86498733667767,70,pick up the red cup,7.874149643927186e-05,"lifted 0 mm, distractor moved 0 mm",201,nan,nan,False,cup,pick,49.00437001405702,0,0
wide,0.0,9.899999999999952,0.3964137906609268,False,0.2525636942913446,"[0.996, 0.994, 0.995, 0.996, 0.995, 0.997, 0.997, 0.997, 0.997, 0.996, 0.995, 0.994, 0.995, 0.996, 0.994, 0.993, 0.992, 0.992, 0.989, 0.988, 0.992, 0.999, 0.996, 0.989, 0.988, 0.999, 0.993, 0.992, 0.995, 0.989, 0.989, 0.997, 0.998, 0.994, 0.995, 0.991, 0.993, 0.992, 0.981, 0.985, 0.984, 0.987, 0.986, 0.984, 0.984, 0.985, 0.985, 0.985, 0.981, 0.979, 0.979, 0.97, 0.971, 0.972, 0.975, 0.921, 0.964, 0.959, 0.963, 0.961, 0.958, 0.951, 0.942, 0.979, 0.967, 0.987, 0.981, 0.982, 0.959, 0.925, 0.995, 0.988, 0.981, 0.975, 0.979, 0.971, 0.952, 0.875, 0.806, 0.781, 0.77, 0.737, 0.701, 0.719, 0.616, 0.503, 0.407, 0.435, 0.378, 0.338, 0.305, 0.278, 0.261, 0.235, 0.235]",False,,nan,98,walk to the red cup,0.0,"stopped at x=0.253, want 0.396 (the other object was closer)",1201,0.14385009636958218,0.006547750293776022,False,cup,walk,50.997852685938255,2,4
wide,2.7459471757633235e-09,15.049999999997098,0.0,False,0.0,[],False,,103.14047429559209,70,pick up the red cup,2.5230281041066505e-06,"lifted 0 mm, distractor moved 0 mm",1201,nan,nan,False,cup,pick,56.04774313353681,0,0
paraphrase,0.0,9.899999999999952,0.2507326292998611,False,0.25238005116398726,"[0.978, 0.977, 0.98, 0.98, 0.98, 0.982, 0.983, 0.984, 0.985, 0.985, 0.985, 0.985, 0.987, 0.987, 0.982, 0.979, 0.969, 0.968, 0.946, 0.955, 0.965, 0.98, 0.97, 0.954, 0.947, 0.977, 0.967, 0.971, 0.971, 0.96, 0.948, 0.982, 0.983, 0.969, 0.957, 0.96, 0.94, 0.932, 0.923, 0.938, 0.925, 0.965, 0.959, 0.961, 0.962, 0.964, 0.957, 0.926, 0.941, 0.878, 0.881, 0.854, 0.886, 0.837, 0.907, 0.852, 0.832, 0.844, 0.89, 0.884, 0.897, 0.892, 0.882, 0.887, 0.892, 0.942, 0.948, 0.929, 0.869, 0.848, 0.984, 0.963, 0.948, 0.949, 0.945, 0.918, 0.903, 0.787, 0.74, 0.703, 0.597, 0.485, 0.389, 0.356, 0.36, 0.313, 0.287, 0.276, 0.25, 0.244, 0.225, 0.206, 0.204, 0.187, 0.18]",False,,nan,98,approach the red cup,0.0,,201,0.0016474218641261418,0.15945943670425522,True,cup,walk,50.997852685938255,2,2
paraphrase,2.4173856516114557e-09,13.248999999998096,0.0,False,0.0,[],False,,83.21321626551669,70,lift the red cup,5.5011381900338385e-05,"lifted 0 mm, distractor moved 0 mm",201,nan,nan,False,cup,pick,49.00437001405702,0,0
